#,PLAYER,PTS,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,STATUS,BYE
29,"Hopkins, DeAndre HOU WR",212.8,14.19,11.5,7.3,7.6,16.7,23.2,7.9,B,28.4,14.6,11.1,13.6,12.5,8,23.9,14,12.5, ,Honkey Kong (Q),7
30,"Brown, Antonio PIT WR",209.3,14.95,18.2,6.2,17,3.4,15.7,21.5,12.5,7,B,4.7,32.4,30.9,16.1,21.3,2.4, , ,Straight Ballin,9
31,"Flacco, Joe BAL QB",207.9,12.99,7.8,17.6,-4.9,9.4,8.5,3.4,13.4,10.9,17.1,B,10.2,9.8,22.7,19.8,23.8,21.3,17.1,Free Agent,10
32,"Manning, Eli NYG QB",207.3,13.82,5.7,12.6,26.6,31.7,15,11.1,8.4,B,14.8,19.9,8.7,1.4, ,9.1,32.4,2,7.9,Free Agent,8
33,"McCoy, LeSean BUF RB",203.6,12.72,15.9,4.3,6.9,10.8,8.9,B,21.2,23.3,2.5,6,24.6,7.9,10.2,21.6,21.6,14.7,3.2,The Worst to First All Stars,6
34,"Watson, Deshaun HOU QB",197.8,28.26,5.7,17.7,22.1,40.7,45.5,28.3,B,37.8, , , , , , , , , ,Straight Ballin,7
35,"Fournette, Leonard JAC RB",194.2,14.94,18.4,12.1,14,20.5,30.4,19.8, ,B, ,4.6,11.8,4.2,13.9,17.9, ,13,13.6,Cooter Brown's Poon Hounds,8
36,"Allen, Keenan LAC WR",182.2,11.39,9.5,10,6.1,13.8,6.7,4.5,4.1,6.1,B,5.4,28.2,23.2,16.5,11.1,5.4,6.3,25.3,Tasty Reubens (Q),9
37,"Cutler, Jay MIA QB",181.7,12.98,B,15.1,12.7,4.1,7.5,14.9,14.5, ,30.4,17.4,0.4, ,15.5,28.9,2.8,17.3,0.2,Free Agent,1
38,"Elliott, Ezekiel DAL RB",176.2,17.62,14,2.2,15.4,25.9,13.2,B,39.9,24.4,15.3, , , , , , ,11.8,14.1,Tasty Reubens,6
39,"Howard, Jordan CHI RB",175.7,10.98,12.6,0.7,25.6,12.3,7.6,17.6,6.5,12.1,B,5.4,18.5,1.9,3.3,27.5,6.3,16.4,1.4,Honkey Kong,9
40,"Hyde, Carlos SFO RB",173.8,10.86,7.7,14.3,21.4,9.5,1.8,19.5,8.8,4.7,12.5,10.4,B,6.8,6.6,13.8,3.9,13.3,18.8,Free Agent,11
41,"Lewis, Dion NEP RB",171,10.69,0.9,2.5,1.7,8.7,6.3,11.2,8.2,5.4,B,17.5,14.8,11.3,9.2,6.7,14,27.3,25.3,Free Agent,9
42,"Kizer, DeShone CLE QB",169.9,11.33,19.6,-2.1,23.1,2.7,0.4, ,-1.4,15,B,24,3.4,20.6,13.2,21.3,0.3,2.1,27.7,Free Agent,9
43,"Hill, Tyreek KCC WR",169.2,11.28,19.8,4.9,15,3.5,12.8,2.5,19.2,0.8,13.3,B,8.4,5.4,30.5,7.5,14.8,10.8, ,The Worst to First All Stars,10
44,"Jones, Marvin DET WR",164.1,10.26,9.7,8.7,2.4,4.2,5.4,15.6,B,12.8,22.7,2.2,14.5,22.9,9,6.4,8.5,5,14.1,Marauders - IR (I),7
45,"Jones, Julio ATL WR",163.9,10.24,6.6,10.8,9.1,3,B,7.2,15.9,7.4,11.8,5.7,7.1,38.8,2.4,9.8,5.4,14.9,8,Super Mojo Juggernaut (Q),5
46,"Freeman, Devonta ATL RB",163.2,11.66,9.9,22,19.8,13.8,B,7.9,9,6.1,6.4,0.3, , ,8.1,15.1,25.4,2.6,16.8,Free Agent (I),5
47,"Gronkowski, Rob NEP TE",158.4,11.31,3.3,17.6,14.9,8, ,20.3,5.1,11.7,B,7.4,3.7,20.2,14.7, ,18.8,12.7,0,Vision,9
48,"Zuerlein, Greg LAR PK",158,11.29,14,8,11,23,4,9,15,B,15,15,1,14,14,5,10, , ,Super Mojo Juggernaut,8
49,"Miller, Lamar HOU RB",157.5,9.84,9.6,8.7,6.3,25.1,8.9,8.1,B,19.3,9.1,7.4,14.3,11.8,9.4,6,3.3,6.5,3.7,Tasty Reubens,7
50,"Cooks, Brandin NEP WR",156.2,9.76,8.8,4.3,27.1,4.2,8.5,9.3,12.5,2.6,B,7.4,20.9,15.4,2.2,3.8,12,2.5,14.7,Ace,9
51,"Gostkowski, Stephen NEP PK",156,9.75,9,12,4,12,13,6,11,13,B,11,15,5,11,8,7,13,6,Marauders,9
52,"Rodgers, Aaron GBP QB",154.5,22.07,17.5,20.5,29.8,31.1,30,0.7, ,B, , , , , , ,24.9, , ,Ace,8
53,"Thomas, Michael NOS WR",154.5,9.66,4.5,8.9,14.7,14.9,B,1.1,8.2,7.7,6.5,11.7,9.1,5.2,13,17.7,15.3,6.6,9.4,Straight Ballin,5
54,"Fitzgerald, Larry ARI WR",151.4,9.46,7.4,2.1,20.9,9.2,5.1,16.8,2.9,B,7,11.3,15.1,3.2,15.8,4.4,6,18.7,5.5,Honkey Kong,8
55,"Green, A.J. CIN WR",149.8,9.36,7.4,6.7,17.1,12.3,21.9,B,4.1,8.7,0.6,17.5,11,6.6,19.7,3.4,3,8.1,1.7,Ace (I),6
56,"Kelce, Travis KCC TE",149.5,9.97,4.4,16.3,0.1,17.4,9.8,3.7,9.3,19.3,13.3,B,7.9,3.9,21.4,7.4,4.6,10.7, ,Vision,10
57,"Adams, Davante GBP WR",148.5,10.61,4.7,15.9,6,7.3,18.6,11.4,1.2,B,5.3,15,12.6,14.2,4.2,20.4,11.7, , ,Cooter Brown's Poon Hounds,8
58,"Baldwin, Doug SEA WR",148.3,9.27,6,4.4,16.5,5.5,3.7,B,15.2,5.4,16.8,9.5,10,2,8.4,13.8,0.6,9.5,21,Free Agent,6
59,"McCaffrey, Christian CAR RB",147.6,9.23,5.5,4.4,11.7,4.9,9.8,12.4,4.6,5.2,15.4,17,B,9.7,10.9,5.3,19.6,5.8,5.4,Straight Ballin,11
60,"Thielen, Adam MIN WR",146.7,9.17,15.7,1.4,9.8,2.9,4.5,9.6,4.1,15.8,B,22.6,18.3,8.9,5.1,16.5,3,2.4,6.1,Tecmo Bowls,9
61,"Anderson, C.J. DEN RB",146.1,9.13,8.8,27.4,4.3,11.2,B,1.7,6.1,8.5,1.3,5.5,8.6,1.2,11,7.3,15.8,21.3,6.1,Super Mojo Juggernaut,5
62,"Collins, Alex BAL RB",146,9.73, ,1.2,8.2,5.2,5.5,7.4,3,14.3,4.6,B,13.1,11.7,21.8,22.6,5.2,6.6,15.6,Super Mojo Juggernaut - IR (I),10
63,"Landry, Jarvis MIA WR",146,9.12,B,7.1,4.8,4,10.4,12.2,15.3,3.3,9.2,10.2,12.5,7,6.2,16.6,9.9,2.1,15.2,Tasty Reubens,1
64,"Gould, Robbie SFO PK",145,9.06,3,9,9,15,11,6,4,4,4,7,B,7,15,14,19,8,10,Free Agent,11
65,"Gore, Frank IND RB",144.6,9.04,5.2,10.6,11.7,8,8.6,6.7,3.4,10.1,7.7,6.1,B,13.9,6.1,14,6.8,14.6,11.1,Free Agent (I),11
66,"Lynch, Marshawn OAK RB",143.2,9.55,9.2,10.9,2.6,1.2,11.3,6.3,0.9, ,18.3,B,7.7,17,18.1,12.4,9.2,6.2,11.9,Free Agent (I),10
67,"Murray, Latavius MIN RB",142.5,8.91,0.6,0.6,0.5,2.9,4.3,3.8,17.3,4.7,B,12.8,21.6,14.4,9.7,2,16.4,7.5,23.4,Ace,9
68,"Boswell, Chris PIT PK",142,8.88,3,14,5,8,9,5,17,8,B,6,16,5,11,15,6,10,4,Honkey Kong (Q),9
69,"Butker, Harrison KCC PK",142,10.92, , , ,11,18,7,12,17,5,B,9,4,7,14,12,17,9,The Worst to First All Stars,10
70,"Tucker, Justin BAL PK",141,8.81,8,6,1,3,12,10,10,10,8,B,11,11,14,8,9,11,9,Tecmo Bowls,10
71,"Coleman, Tevin ATL RB",140.7,9.38,5.8,10.5,8.9,14.2,B,9.6,1.6,10.4,8.4,14.8,11.8,21.7,4.9,3.2, ,11.2,3.7,Vision,5
72,"Lutz, Wil NOS PK",140.4,8.78,13,8,10,8,B,10,8,8,6,11,14,8,7,5,7,11,6.4,Vision,5
73,"Johnson, Duke CLE RB",140.1,8.76,2,8,16.4,12,14.3,3.9,7.1,4.3,B,8.8,12.6,6.7,1.2,10.9,9.3,10.1,12.5,Ace,9
74,"Smith-Schuster, JuJu PIT WR",139.7,9.98,0,7.6,3.9,10.7,5.8,3.2,9.9,25.3,B,15.7,4.7, ,1.7, ,11.4,13.5,26.3,The Worst to First All Stars (Q),9
75,"Jeffery, Alshon PHI WR",138.9,8.68,5.8,15.2,5.6,8.9,3.1,7.1,3.7,14.2,20.4,B,14.7,11.2,6.1,11.2,10.9,0,0.8,Vision (Q),10
76,"Trubisky, Mitchell CHI QB",138.6,10.66,0, , , ,9.3,10.7,4.6,8.9,B,17.9,15.5,1.1,12,23.3,9.9,18.1,7.3,The Worst to First All Stars,9
77,"Anderson, Robby NYJ WR",137,8.56,2.2,2.8,15.5,5.9,1.6,7.6,9.5,16.5,10.8,14.5,B,26.6,11.4,2.7,4,5.1,0.3,Cooter Brown's Poon Hounds,11
78,"Bryant, Matt ATL PK",137,8.56,11,10,12,5,B,5,1,13,5,9,10,10,9,8,6,7,16,Free Agent,5
79,"Succop, Ryan TEN PK",136,8.5,10,13,15,2,4,18,12,B,5,6,5,8,6,1,11,11,9,Free Agent,8
80,"Diggs, Stefon MIN WR",134.2,9.59,20.7,3.1,29.3,9.8,0.4, , ,2.6,B,13.8,3.2,7.5,3.7,6.4,9.7,12.3,11.7,Vision,9
81,"Siemian, Trevor DEN QB",134.2,12.2,25.7,28.6,5.6,13.3,B,15.9,3.7,6.9, , , ,18.9,0.6,15.3,-0.3, , ,Free Agent,5
